units,dropout,learning_rate,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,tuner/trial_id,batch_size,val_loss,final_train_loss,final_test_loss
192,0.2,0.005347081268660574,67,23,2,1,0220,,0.09577396512031555,,
192,0.1,0.002939362078742221,8,0,3,0,,,0.09627781063318253,,
256,0.2,0.0015109090763929108,23,8,3,1,0170,,0.09633027762174606,,
352,0.4,0.0007090582191927241,23,0,2,0,,,0.09634273499250412,,
512,0.1,0.006927528298367841,8,3,4,1,0088,,0.09661411494016647,,
416,0.2,0.0034365682734906543,8,3,4,1,0014,,0.09670229256153107,,
256,0.30000000000000004,0.0058910893688697286,23,8,4,2,0117,,0.09733135253190994,,
224,0.2,0.00027450960212191183,200,0,0,0,,,0.09739142656326294,,
320,0.30000000000000004,0.007304833004145639,3,0,4,0,,,0.09744582325220108,,
224,0.30000000000000004,0.0033157143208806974,8,0,3,0,,,0.09801230579614639,,
512,0.1,0.006927528298367841,3,0,4,0,,,0.09815184772014618,,
384,0.2,0.0076493524681733455,8,3,4,1,0058,,0.09835414588451385,,
448,0.2,0.0016810101581393511,8,0,3,0,,,0.0993349552154541,,
256,0.4,0.0030702091811511826,8,3,4,1,0033,,0.09946834295988083,,
128,0.30000000000000004,0.008503259982314723,8,3,4,1,0067,,0.09947062283754349,,
256,0.2,0.00484147189732174,8,3,4,1,0051,,0.09987104684114456,,
