regularizer,lr,batch_size,val_loss,final_train_loss,final_test_loss
6.745979099339623e-06,0.01161047169676079,34,0.04126782342791557,0.053170207887887955,0.09557471424341202
1.9254849557003105e-06,0.010134193102885746,9,0.04310695081949234,,
2.1456628187521636e-06,0.007981648198794702,43,0.04741355776786804,,
3.055725767794868e-06,0.001074662269063673,13,0.054093893617391586,,
6.112511306474713e-05,0.014239939282547078,16,0.05575228109955788,,
4.790651788961244e-05,0.002652962110216329,19,0.06589564681053162,,
0.0004645037259953588,0.027344052890573987,45,0.06779520213603973,,
1.6600549487569402e-06,0.0038242219288662687,58,0.07316818833351135,,
2.1014596871566738e-05,0.011497901325121304,23,0.07482384890317917,,
1.5383451783482412e-05,0.02238493727211991,43,0.07490043342113495,,
1.0574492243898331e-05,0.0398499091983822,39,0.0785815641283989,,
5.856416157216894e-06,0.027084529916392156,7,0.10491731762886047,,
2.5372957819601766e-05,0.0009498479678594839,3,0.1279137283563614,,
2.7511458264285117e-06,0.06017470418444004,63,0.13407060503959656,,
3.0457643038664646e-06,0.00038542397361557897,17,0.15410922467708588,,
1.3890434023994883e-05,9.679918634889045e-05,3,0.2544707655906677,,
1.5851738013221896e-05,0.00031055354783859267,21,0.2891782820224762,,
0.009007701847082128,0.0647312493647223,33,0.36588943004608154,,
6.652105955543045e-06,0.041046884998106783,6,0.40397968888282776,,
1.1183516756934008e-06,0.0764060442320503,11,0.41863957047462463,,
0.0003252386608075102,0.02688819051138837,35,0.47974875569343567,,
1.2095331774822112e-06,4.443839163721282e-06,1,0.6865720152854919,,
0.09422816850565396,0.0990987505567725,6,0.754045307636261,,
0.001573915423932089,0.0057067179723348516,48,0.7569595575332642,,
0.00833778180581959,0.04131245348473482,64,0.7583004236221313,,
0.0041043803843226,0.02371857657899774,11,0.7599483728408813,,
2.2950606450387828e-05,5.8760860148186394e-05,62,0.7602891325950623,,
0.024579799942212197,0.01700209799622502,12,0.7604842185974121,,
7.278169701906579e-05,0.007163569069264555,18,0.7615280747413635,,
0.004877747059767676,0.03131997875161484,57,0.7616001963615417,,
0.03566624372390399,0.02982002806420693,25,0.7616143822669983,,
0.00025537463537483743,0.005013927205580082,57,0.7622888684272766,,
6.027717459244714e-05,0.002085536861192591,11,0.7626415491104126,,
0.0008703150320378962,0.002218087712723606,3,0.7627415657043457,,
5.345797127071373e-05,0.003475625692056448,8,0.763024091720581,,
0.0578897305814024,0.002578186298567309,21,0.7631588578224182,,
0.002585115270698709,0.0012301917090776896,4,0.7631615996360779,,
0.012429129757811087,0.00501047282230282,7,0.7632399201393127,,
0.011109372605884278,0.001465946363905792,34,0.763275146484375,,
0.0007980015807265644,0.0010891891992481457,1,0.763282060623169,,
0.0844941832103414,0.0007921780646707438,7,0.7632923722267151,,
0.0017879583918853205,0.00346857211898136,45,0.763304591178894,,
0.045098530718521754,0.0006204098023151357,3,0.7634015679359436,,
5.161528628774171e-05,0.0008610027925443075,5,0.7634743452072144,,
0.0014030388236345066,0.022633624692639603,51,0.7636351585388184,,
0.0057111422548291645,0.0005342332111935886,50,0.7637989521026611,,
0.00038504339134933435,2.1341331180676712e-05,1,0.76384437084198,,
1.280064911300052e-06,6.545201398585688e-06,32,0.7638660669326782,,
3.4333332435280583e-06,2.7557380414518688e-06,58,0.7638716101646423,,
4.049252712341081e-06,2.286231344890569e-06,28,0.7638769745826721,,
4.476724262894703e-06,1.67539223000764e-06,41,0.7638800740242004,,
0.0008221815337546766,0.0002669755148828824,14,0.7639095783233643,,
2.12781256456966e-05,5.653403032751526e-06,32,0.7639223337173462,,
6.212135287332158e-05,0.00010999289475276606,21,0.7639265656471252,,
1.9827426327635346e-05,2.0677999170770863e-06,62,0.7639309167861938,,
2.658941653164541e-05,1.091004081516495e-06,14,0.7639470100402832,,
0.0936256682414403,8.078998445440416e-05,11,0.763948917388916,,
0.000633202164949707,0.00683514779704316,49,0.7639611959457397,,
2.9902343769512977e-05,1.1085229360454863e-06,30,0.7639647722244263,,
0.0005560732057184514,0.0019269547973293434,18,0.7640249729156494,,
0.0017569457629204122,3.968324443301634e-05,18,0.7642558813095093,,
0.013981655285966248,0.00015733670067916727,43,0.7644358277320862,,
0.0002514639706878665,1.1097437923727104e-06,7,0.7645769715309143,,
0.002811508517460719,4.0736543230035246e-06,2,0.7646629214286804,,
0.0003189939742702838,3.0836793564406853e-06,47,0.7648378014564514,,
0.0004902374050503458,1.5754488916987227e-05,54,0.7650484442710876,,
0.0006279211640417015,2.4688675010622196e-06,9,0.7653850317001343,,
0.0007128817262474434,1.5431855669354008e-06,11,0.7659237384796143,,
0.0960546093569829,0.002051330801342242,44,0.7662976980209351,,
0.0527817446224243,0.034536624258584246,64,0.7669384479522705,,
0.005922857880987987,2.3086065629686634e-05,18,0.7679594159126282,,
0.027624316097447928,6.380553221075594e-05,25,0.7685942053794861,,
0.02399188451321693,0.003567633309705424,29,0.768598735332489,,
0.005047062678836285,3.292817376290739e-05,58,0.7717633843421936,,
0.0035158635858572812,1.2487799430050382e-05,63,0.7728299498558044,,
0.00442343039946004,2.178597799956539e-06,24,0.7770688533782959,,
0.020336771214892854,5.866870310867367e-05,51,0.7808287739753723,,
0.007327803455650424,1.3162598275587161e-05,56,0.7819293737411499,,
0.04148630481612772,3.213925343091837e-06,2,0.7836206555366516,,
0.05273590753557979,4.343722823776133e-05,57,0.8269960284233093,,
0.0001696010719927331,0.08813087927598774,2,0.8270377516746521,,
2.5551567460893565e-05,0.1993205555895591,53,0.9145013689994812,,
0.08288825289011698,2.8866060123542434e-06,25,1.0097310543060303,,
4.105383212888616e-05,0.22021259037797947,38,1.4290072917938232,,
0.0005595821066349054,0.14946949935186968,41,1.4491313695907593,,
2.305184554997155e-05,0.3889119216951943,3,1.729194164276123,,
0.0003977479482528982,0.10815412490214714,34,1.8114570379257202,,
0.09391493290398198,0.1510161534931399,3,1.9910813570022583,,
4.3205488058779566e-05,0.27516960904024007,20,2.351315498352051,,
