n_centers,gamma,optimizer,learning_rate,batch_size,test_loss,val_loss,test_mse
5,1.0,<class 'keras.src.optimizers.adam.Adam'>,0.001,32,0.8969395160675049,1.0317050218582153,0.8969395333744146
5,1.0,<class 'keras.src.optimizers.adam.Adam'>,0.001,64,0.8946313261985779,1.0320523977279663,0.8946313180068586
5,1.0,<class 'keras.src.optimizers.adam.Adam'>,0.001,128,0.8963194489479065,1.0316741466522217,0.89631935386392
5,1.0,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.8959603905677795,1.031819224357605,0.8959604214640634
5,1.0,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.895679771900177,1.032089114189148,0.8956797829752832
5,1.0,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.8977890610694885,1.0297051668167114,0.8977891089440453
5,1.0,<class 'keras.src.optimizers.sgd.SGD'>,0.001,32,0.896039605140686,1.0318653583526611,0.8960395955469419
5,1.0,<class 'keras.src.optimizers.sgd.SGD'>,0.001,64,0.8961343169212341,1.0318399667739868,0.8961343516625925
5,1.0,<class 'keras.src.optimizers.sgd.SGD'>,0.001,128,0.8964048027992249,1.0318220853805542,0.8964047760873649
5,1.0,<class 'keras.src.optimizers.sgd.SGD'>,0.01,32,0.8961563110351562,1.0317813158035278,0.8961562974306595
5,1.0,<class 'keras.src.optimizers.sgd.SGD'>,0.01,64,0.8953768014907837,1.032039999961853,0.8953768068072178
5,1.0,<class 'keras.src.optimizers.sgd.SGD'>,0.01,128,0.895366370677948,1.033279538154602,0.8953663364098395
10,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,32,0.7857272624969482,0.9225483536720276,0.7857272037380935
10,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,64,0.7926862835884094,0.895500898361206,0.7926863362353213
10,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,128,0.8196730017662048,0.957426905632019,0.8196729424437872
10,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.41716426610946655,0.5299899578094482,0.417164243141456
10,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.509067714214325,0.6392804980278015,0.5090677286898772
10,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.510429322719574,0.6141172051429749,0.5104293004347057
10,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,32,0.9891812205314636,1.1442320346832275,0.9891811959404465
10,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,64,1.075442910194397,1.1778347492218018,1.0754429930271459
10,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,128,1.0309278964996338,1.1332769393920898,1.0309278611221915
10,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,32,0.8542659282684326,1.011634349822998,0.8542659198174568
10,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,64,0.8793354034423828,1.022199034690857,0.879335389806951
10,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,128,0.8932298421859741,1.0391993522644043,0.8932297909003344
10,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.001,32,0.8887525796890259,1.022853970527649,0.8887526718830073
10,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.001,64,0.8971598744392395,1.0315651893615723,0.8971598137005931
10,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.001,128,0.8945289850234985,1.0302621126174927,0.894529015588916
10,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.8326219320297241,0.9724400043487549,0.8326218866954233
10,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.888334333896637,1.018629550933838,0.8883343181465854
10,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.8402358889579773,0.967848539352417,0.8402358700719281
10,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.001,32,0.8971649408340454,1.034287691116333,0.8971648951959413
10,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.001,64,0.8959498405456543,1.032576560974121,0.8959497851247274
10,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.001,128,0.8964645266532898,1.0311256647109985,0.8964645865522063
10,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.01,32,0.9025552272796631,1.0362598896026611,0.9025552680847859
10,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.01,64,0.8966531157493591,1.0311485528945923,0.8966530652569379
10,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.01,128,0.8986238241195679,1.0349304676055908,0.8986238054872796
10,1.0,<class 'keras.src.optimizers.adam.Adam'>,0.001,32,0.8958613872528076,1.0318341255187988,0.895861377797717
10,1.0,<class 'keras.src.optimizers.adam.Adam'>,0.001,64,0.8970687985420227,1.0317424535751343,0.8970687299808845
10,1.0,<class 'keras.src.optimizers.adam.Adam'>,0.001,128,0.8980424404144287,1.0316187143325806,0.898042419471483
10,1.0,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.8954923152923584,1.0310072898864746,0.8954922791592986
10,1.0,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.8980329632759094,1.0316427946090698,0.8980330539377133
10,1.0,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.8942170143127441,1.03145170211792,0.8942169740107359
10,1.0,<class 'keras.src.optimizers.sgd.SGD'>,0.001,32,0.8961735367774963,1.0317882299423218,0.8961734914100742
10,1.0,<class 'keras.src.optimizers.sgd.SGD'>,0.001,64,0.8962410092353821,1.0318259000778198,0.8962410331145688
10,1.0,<class 'keras.src.optimizers.sgd.SGD'>,0.001,128,0.8963799476623535,1.031864047050476,0.896379916120409
10,1.0,<class 'keras.src.optimizers.sgd.SGD'>,0.01,32,0.8962276577949524,1.0318989753723145,0.896227709022814
10,1.0,<class 'keras.src.optimizers.sgd.SGD'>,0.01,64,0.8966119289398193,1.03123939037323,0.8966119140202817
10,1.0,<class 'keras.src.optimizers.sgd.SGD'>,0.01,128,0.8956651091575623,1.0318453311920166,0.8956651230626779
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,32,0.8767485022544861,0.9884637594223022,0.8767484495436259
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,64,0.8713447451591492,0.9873020052909851,0.8713448072241614
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,128,0.9156129956245422,1.0560166835784912,0.9156129827841722
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.3262555003166199,0.40785911679267883,0.32625549534382153
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.38143444061279297,0.48963820934295654,0.381434436762117
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.4401746094226837,0.5570247769355774,0.44017457639501734
15,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,32,0.9091914296150208,1.0717899799346924,0.9091914707738361
15,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,64,0.8894282579421997,1.0246127843856812,0.889428243433089
15,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,128,0.890232264995575,1.1742931604385376,0.8902322023225223
15,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,32,0.805279552936554,0.9322943091392517,0.8052795985981692
15,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,64,0.9909164309501648,1.1456372737884521,0.990916411796547
15,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,128,0.7821990847587585,0.9161959290504456,0.7821990828582078
15,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.001,32,0.8932830691337585,1.029415249824524,0.8932829968226144
15,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.001,64,0.8946536183357239,1.0257847309112549,0.8946535814051938
15,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.001,128,0.8951138257980347,1.0298658609390259,0.8951137900378905
15,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.8662314414978027,1.0032200813293457,0.8662314501122581
15,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.8584343194961548,0.9813082218170166,0.8584343321510287
15,0.5,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.8841296434402466,1.025059461593628,0.8841296276043957
15,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.001,32,0.8954915404319763,1.0313441753387451,0.8954915841726999
15,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.001,64,0.8944320678710938,1.030396580696106,0.894432031764449
15,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.001,128,0.8977615237236023,1.0330519676208496,0.897761559459234
15,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.01,32,0.893697202205658,1.0283253192901611,0.8936971666326214
15,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.01,64,0.8953804969787598,1.0295357704162598,0.8953804463966114
15,0.5,<class 'keras.src.optimizers.sgd.SGD'>,0.01,128,0.8971788287162781,1.033390998840332,0.8971787351961793
