regularizer,lr,batch_size,fold,accuracy,val_accuracy,mse,val_mse
0.0033115984388193964,0.00043882822517266263,24,1,0.5333333611488342,0.6470588445663452,0.2745611369609833,0.257601261138916
1.4653913031946284e-06,0.024756350836580215,26,2,0.5703703761100769,0.7941176295280457,0.2345733344554901,0.21023663878440857
0.0011119839982844243,0.04587572185707444,26,3,0.5407407283782959,0.7352941036224365,0.24206025898456573,0.20644137263298035
0.1110411385865047,0.006608542544936439,26,4,0.5407407283782959,0.7647058963775635,0.24879108369350433,0.21776273846626282
0.007698185320084242,0.0062480971124540905,10,5,0.6176470518112183,0.6969696879386902,0.23166361451148987,0.26416751742362976
