n_centers,gamma,learning_rate,batch_size,fold,accuracy,val_accuracy,mse,val_mse
170,0.12000000000000001,0.22,16,1,0.5051546096801758,0.47999998927116394,0.30621466040611267,0.27755945920944214
200,0.10500000000000001,0.23,64,2,0.4639175236225128,0.47999998927116394,0.32504892349243164,0.30630335211753845
150,0.165,0.35000000000000003,80,3,0.5408163070678711,0.5,0.2668209671974182,0.2592862546443939
150,0.11,0.34,16,4,0.6224489808082581,0.5,0.2534169852733612,0.2781524658203125
175,0.175,0.2,16,5,0.44897958636283875,0.4583333432674408,0.2589457929134369,0.2995815575122833
