n_centers,gamma,learning_rate,batch_size,fold,mse,val_mse,mean_euclidean_error,val_mean_euclidean_error
195,0.28,0.23,32,1,6.177328851585049,5.509577590931973,4.470656594060995,4.162796733295308
160,0.22,0.09999999999999999,32,2,4.394603325158189,5.9287496041694485,3.588052221595291,4.342357352797264
185,0.17,0.16,16,3,4.518683959296195,4.198017274497014,3.7957561386794816,3.671718817215624
125,0.22,0.28,48,4,4.374723044405696,4.168321347721289,3.827341492109418,3.6425679674265767
140,0.27,0.31,48,5,7.102200713668153,7.1806889595744074,4.722077436918216,4.790320696960233
