n_centers,gamma,optimizer,learning_rate,batch_size,test_loss,val_loss,test_mse
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,32,0.10095641762018204,0.13444660604000092,0.10095641677522038
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,64,0.139959454536438,0.2159205675125122,0.13995946200172188
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,128,0.16513904929161072,0.24134041368961334,0.16513905822742933
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,32,0.10022620856761932,0.15134264528751373,0.10022621613815631
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,64,0.13665592670440674,0.20186546444892883,0.13665592372608393
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,128,0.13775166869163513,0.2313075065612793,0.13775167158577764
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.5,32,0.07868044078350067,0.15049110352993011,0.07868044344500519
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.5,64,0.09252014756202698,0.17479091882705688,0.09252015519253987
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.5,128,0.11832796037197113,0.24274197220802307,0.11832796870797652
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,1.0,32,0.11316440254449844,0.2075548768043518,0.11316441113292858
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,1.0,64,0.07085492461919785,0.15885235369205475,0.0708549218338277
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,1.0,128,0.1337779015302658,0.21212324500083923,0.1337778930089075
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,32,0.14183855056762695,0.19919463992118835,0.14183854238981433
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,64,0.1201416403055191,0.19073466956615448,0.12014164153016682
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,128,0.16505444049835205,0.2260207235813141,0.16505444095588118
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,32,0.09686966240406036,0.17349132895469666,0.09686966931605813
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,64,0.20477519929409027,0.27986201643943787,0.20477519403616895
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,128,0.14246436953544617,0.22611713409423828,0.1424643636691174
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.5,32,0.10139297693967819,0.14550334215164185,0.10139297836950507
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.5,64,0.08676695823669434,0.13232940435409546,0.0867669635556077
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.5,128,0.0863071084022522,0.18365231156349182,0.08630710003528307
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,1.0,32,0.1096542552113533,0.17644403874874115,0.10965425509314625
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,1.0,64,0.13293467462062836,0.1577337682247162,0.13293466973531912
25,0.1,<class 'keras.src.optimizers.adam.Adam'>,1.0,128,0.10618115216493607,0.16845819354057312,0.1061811521649856
30,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,32,0.12224217504262924,0.19443997740745544,0.12224217661296814
30,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,64,0.16773384809494019,0.24351146817207336,0.16773384811685724
30,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.05,128,0.23773279786109924,0.3072241544723511,0.23773280049831902
30,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,32,0.09637591987848282,0.16566312313079834,0.09637592622384743
30,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,64,0.16971668601036072,0.21826259791851044,0.1697166841424601
30,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.1,128,0.1201675534248352,0.18417686223983765,0.12016755529761164
30,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.5,32,0.09596456587314606,0.12008640170097351,0.09596455819230111
30,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.5,64,0.11618033051490784,0.18867594003677368,0.11618033143980801
30,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.5,128,0.10698243975639343,0.22248193621635437,0.1069824350864511
30,0.1,<class 'keras.src.optimizers.adam.Adam'>,1.0,32,0.08396543562412262,0.11994728446006775,0.08396543030124477
30,0.1,<class 'keras.src.optimizers.adam.Adam'>,1.0,64,0.09382908791303635,0.14937244355678558,0.09382908594290106
30,0.1,<class 'keras.src.optimizers.adam.Adam'>,1.0,128,0.11190582066774368,0.18268708884716034,0.11190582263788602
