n_centers,gamma,optimizer,learning_rate,batch_size,test_loss,val_loss,test_mse
10,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.001,32,0.820280909538269,1.0407823324203491,0.8202809359127103
10,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.001,64,0.9164712429046631,1.1757516860961914,0.9164712343649212
10,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.001,128,0.904622495174408,1.0524370670318604,0.9046224311051648
10,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.01,32,0.8620418310165405,0.9792494177818298,0.8620418318873327
10,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.01,64,0.9034152030944824,1.0404994487762451,0.903415252904559
10,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.01,128,0.940639317035675,1.0490080118179321,0.9406393471601678
10,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,32,0.7652043700218201,0.8855013847351074,0.7652043875769338
10,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,64,0.910888671875,1.0925326347351074,0.9108887285432892
10,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,128,0.8335248827934265,0.9798082113265991,0.8335248534646533
10,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.5698689222335815,0.7018327116966248,0.5698689079354642
10,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.5032002925872803,0.6038660407066345,0.5032002999448265
10,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.5597698092460632,0.697816789150238,0.5597697912524117
10,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,32,0.8924448490142822,1.086090326309204,0.8924448480635886
10,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,64,0.9281684756278992,1.1084707975387573,0.9281684345537949
10,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,128,0.8979034423828125,1.018698811531067,0.8979034533542177
10,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,32,0.8973641991615295,1.024186134338379,0.8973642207452771
10,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,64,0.8771049976348877,1.017011284828186,0.8771050333637535
10,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,128,0.9395434856414795,1.0598467588424683,0.9395434453837428
15,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.001,32,0.8977547287940979,1.034814715385437,0.8977547067701813
15,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.001,64,0.8998233079910278,1.0955569744110107,0.89982326324415
15,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.001,128,1.2036643028259277,1.5230289697647095,1.2036643154806448
15,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.899700403213501,1.0285885334014893,0.8997003873978823
15,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.9130713939666748,1.0342141389846802,0.9130713581634459
15,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.8804901242256165,1.0327606201171875,0.8804900759511408
15,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.001,32,0.8749324083328247,1.0357884168624878,0.8749323277786046
15,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.001,64,0.9918814301490784,1.1882915496826172,0.991881367519127
15,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.001,128,1.142238736152649,1.3548427820205688,1.1422388083300656
15,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.01,32,0.8946658372879028,1.0328664779663086,0.8946658351062533
15,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.01,64,0.8973912000656128,1.0343502759933472,0.8973912169707838
15,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.01,128,0.9003535509109497,1.0354995727539062,0.9003535153426014
15,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.001,32,0.9450245499610901,1.0924146175384521,0.9450246227964252
15,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.001,64,0.8914656639099121,1.0170007944107056,0.8914656783978255
15,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.001,128,1.1045925617218018,1.1948081254959106,1.1045925788725797
15,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.7949670553207397,0.9086635708808899,0.7949671067853695
15,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.7545440196990967,0.9125540256500244,0.7545439768631165
15,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.8562715649604797,0.9643416404724121,0.8562715793061376
15,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.001,32,0.9923469424247742,1.116275429725647,0.9923469414457982
15,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.001,64,1.4269294738769531,1.396385908126831,1.4269293991146503
15,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.001,128,1.1290212869644165,1.1413947343826294,1.1290213366267468
15,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.01,32,0.9211125373840332,1.054917573928833,0.9211125047766062
15,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.01,64,0.8589580655097961,0.9820085167884827,0.8589580975318412
15,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.01,128,0.8810904026031494,1.045946717262268,0.8810904094568753
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,32,0.7488992810249329,0.887164294719696,0.7488993206865379
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,64,0.8645299673080444,1.0154742002487183,0.8645299689783696
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,128,0.8743453025817871,0.9942939877510071,0.8743452908502022
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.26926928758621216,0.39989185333251953,0.2692692861013643
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.3376433849334717,0.4553651511669159,0.3376434057407529
15,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.4154706299304962,0.5402292013168335,0.4154706386490998
15,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,32,0.8712912201881409,0.9884045124053955,0.871291174392162
15,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,64,0.9402198791503906,1.0604766607284546,0.9402199010959351
15,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.001,128,0.883704423904419,0.9961804747581482,0.883704401818353
15,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,32,0.8893080353736877,1.0339875221252441,0.8893079635499563
15,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,64,0.8245716691017151,1.0024300813674927,0.824571732162204
15,0.1,<class 'keras.src.optimizers.sgd.SGD'>,0.01,128,0.9125840663909912,1.0466034412384033,0.9125841480262468
20,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.001,32,0.9108890295028687,1.036921739578247,0.9108889720114423
20,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.001,64,0.9626643657684326,1.053025722503662,0.9626643287294182
20,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.001,128,0.8914309740066528,1.0284274816513062,0.8914310333250083
20,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.9087049961090088,1.0269819498062134,0.9087049431381343
20,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.8964599370956421,1.0304898023605347,0.896459929810768
20,0.001,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.8751925826072693,1.0440688133239746,0.8751925079490134
20,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.001,32,0.892536997795105,1.0333092212677002,0.8925370398403087
20,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.001,64,0.9266724586486816,1.0840306282043457,0.9266723977678147
20,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.001,128,1.0745817422866821,1.137994408607483,1.074581781386697
20,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.01,32,0.9005442261695862,1.0368024110794067,0.900544160196317
20,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.01,64,0.8950689435005188,1.026431679725647,0.8950689846182783
20,0.001,<class 'keras.src.optimizers.sgd.SGD'>,0.01,128,0.9035981893539429,1.0262140035629272,0.9035982448970653
20,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.001,32,0.8589303493499756,0.9843577742576599,0.8589303969817758
20,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.001,64,0.9400345087051392,1.0690674781799316,0.9400344703674527
20,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.001,128,0.8751951456069946,1.0643953084945679,0.8751951896958649
20,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.01,32,0.6696022748947144,0.780449390411377,0.6696022859086677
20,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.01,64,0.7115528583526611,0.836192786693573,0.7115528914506012
20,0.01,<class 'keras.src.optimizers.adam.Adam'>,0.01,128,0.8232694268226624,0.9502174258232117,0.8232694264858692
20,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.001,32,0.9644871354103088,1.081964373588562,0.9644871760179212
20,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.001,64,1.0170608758926392,1.1189953088760376,1.0170608804488903
20,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.001,128,0.9040865898132324,1.1271781921386719,0.9040865812099051
20,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.01,32,0.8833131194114685,1.0173419713974,0.8833131147008176
20,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.01,64,0.9204801917076111,1.066487431526184,0.9204801724292052
20,0.01,<class 'keras.src.optimizers.sgd.SGD'>,0.01,128,0.9257259368896484,1.0448100566864014,0.9257259549674736
20,0.1,<class 'keras.src.optimizers.adam.Adam'>,0.001,32,0.675995945930481,0.8287116289138794,0.6759959249251383
