n_centers,gamma,learning_rate,batch_size,fold,accuracy,val_accuracy,mse,val_mse
120,0.15000000000000002,0.34,16,1,0.5629629492759705,0.3529411852359772,0.2420770674943924,0.2847559452056885
185,0.10500000000000001,0.27,48,2,0.5111111402511597,0.6764705777168274,0.2728302776813507,0.22473005950450897
200,0.175,0.27,16,3,0.6000000238418579,0.7058823704719543,0.24233920872211456,0.21051569283008575
155,0.15000000000000002,0.37,112,4,0.6000000238418579,0.7058823704719543,0.2595263719558716,0.20843665301799774
115,0.21000000000000002,0.36000000000000004,16,5,0.5441176295280457,0.5757575631141663,0.28666940331459045,0.28968721628189087
