n_centers,gamma,learning_rate,batch_size,fold,accuracy,val_accuracy,mse,val_mse
195,0.14500000000000002,0.39,16,1,0.6060606241226196,0.47999998927116394,0.3190731406211853,0.4268805682659149
140,0.2,0.34,16,2,0.4545454680919647,0.4399999976158142,0.3452906608581543,0.3375805616378784
170,0.18,0.22,128,3,0.5656565427780151,0.6000000238418579,0.22844049334526062,0.20583122968673706
140,0.18,0.37,16,4,0.5555555820465088,0.5199999809265137,0.30620503425598145,0.29933491349220276
145,0.125,0.31,80,5,0.3700000047683716,0.3333333432674408,0.4029005467891693,0.3856331408023834
